n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,covers_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRGM
40,250,2500,0.8,0.8,0.009912299793487728,0.801175,0.799448,0.2039296,0.026761063040729286,0.04511447701784558,0.965,0.0285691737811874,0.046261645941739066,0.963,0.0281699703999104,0.044990565751465816,0.952,0,109,0,891,101.26681324805665,128.80630610920556,126.71926478638333
40,250,2500,0.8,0.8,0.020076306911179623,0.80175,0.80064,0.2083084,0.028994570406765213,0.044609618108761205,0.975,0.03165722609706087,0.04573535141207772,0.961,0.03213779222131876,0.044359251057459144,0.946,0,108,0,892,26.67023813424207,50.21199770777975,53.09305162302702
40,250,2500,0.8,0.8,0.029563346468374517,0.7987,0.798948,0.2118012,0.029915593884681152,0.04491733926888409,0.981,0.03419885929053559,0.04602560939213866,0.967,0.03398556286204994,0.044546488372487016,0.957,0,101,0,899,-7.021785381626644,17.13827669203525,20.877898457184966
40,250,2500,0.8,0.8,0.03918241873065851,0.80065,0.801072,0.2159572,0.03408005800997957,0.04419499024131528,0.973,0.03798651592070168,0.04528140687422613,0.954,0.037955433434283786,0.04362372966549337,0.94,0,112,0,888,-10.78255513885644,16.308436071946325,19.411614238357043
40,250,2500,0.8,0.8,0.04999999597153313,0.79995,0.799072,0.2204684,0.03472818013770498,0.044385253139770736,0.983,0.03891420288208002,0.04536282957304324,0.969,0.03957507899657297,0.04367822846391631,0.951,0,124,0,876,-22.877008285564624,5.282993212685965,7.193267722578481
40,250,2500,0.8,0.8,0.06130798519473956,0.795075,0.799632,0.2252244,0.0366213728771056,0.04440661265306808,0.994,0.04152306759958413,0.04547245626477003,0.973,0.041242083964950584,0.04347899413174461,0.953,0,95,0,905,-26.263162648748082,2.863773132035515,6.48995970708543
40,250,2500,0.8,0.8,0.07004357654639723,0.800325,0.8001480000000001,0.2290084,0.038202755219991835,0.04376587883583432,0.995,0.04311430400934253,0.04495654254183874,0.965,0.04290928303440627,0.04269158013614075,0.942,0,119,0,881,-26.991456448367764,1.9276125523760639,5.379452137310183
40,250,2500,0.8,0.8,0.07985389946003679,0.7998,0.8010280000000001,0.2327888,0.038680894950648685,0.04351874504153307,0.992,0.04287395417468241,0.04468854532264063,0.962,0.04207393877588518,0.04222439405937188,0.94,0,108,0,892,-27.656169462936383,2.5714604024270646,6.463517671787561
40,250,2500,0.8,0.8,0.09005769599673488,0.801225,0.7999040000000001,0.2373016,0.03872380204014202,0.04341926245961255,0.987,0.04278622928849167,0.04471627545868922,0.981,0.04264634395930137,0.04197063964058638,0.953,0,93,0,907,-29.8294713178313,-1.3489281818837584,2.7341550190607258
40,250,2500,0.8,0.8,0.10092145976379437,0.797225,0.800064,0.2418976,0.03979025691322723,0.043571984219971056,0.947,0.04264245905615969,0.04480364740284337,0.965,0.042972862981023686,0.04182380983713738,0.939,0,122,0,878,-30.009624107290126,1.443672506820686,3.747299250270921
40,250,2500,0.8,0.8,0.10830453384621769,0.800325,0.799748,0.2454096,0.041075723171091545,0.043336170854007906,0.925,0.04488790091468258,0.04482402476433754,0.964,0.044259638629169394,0.04141497649677459,0.933,0,103,0,897,-30.33213857712494,-0.15592941080174913,2.879812880050466
40,250,2500,0.8,0.8,0.11995767669210997,0.798,0.798628,0.2504852,0.043161459723283224,0.043705497869539096,0.89,0.04653683552966937,0.045155619263023375,0.953,0.04597123999260788,0.04143794332323869,0.92,0,124,0,876,-31.32014766974167,-0.8408593519490014,1.8344333649780473
40,250,2500,0.8,0.8,0.1299855839797041,0.797325,0.7988120000000001,0.2539384,0.044189685475546,0.04357751370114391,0.848,0.04728702459259676,0.04509270381665704,0.95,0.0463635076035174,0.04106053171712779,0.919,0,109,0,891,-32.01753750902254,-1.5430023243028415,0.6720071371652585
40,250,2500,0.8,0.8,0.14011042979399077,0.80065,0.801056,0.2588876,0.041340576513500774,0.04286414989820423,0.88,0.04388209352907002,0.044662641222743715,0.962,0.04331467454811327,0.04005512838232105,0.932,0,101,0,899,-28.9567783706151,1.791205706025753,3.0014539403626195
40,250,2500,0.8,0.8,0.15025204503364473,0.801225,0.8002560000000001,0.2636704,0.04348159220927335,0.04291490106597228,0.819,0.04629485263550432,0.04475390974623447,0.962,0.045092325049307755,0.03979524838307031,0.917,0,117,0,883,-29.3687991464712,-0.33562531666473217,1.939220349662282
40,250,2500,0.8,0.8,0.16032946675383158,0.79885,0.802,0.2682656,0.042581447808549854,0.04276654027205614,0.845,0.04555255636211521,0.045064557477699045,0.957,0.044173601651752194,0.03921331249243575,0.913,0,125,0,875,-27.182056872502862,2.530956557865509,4.22036547611386
40,250,2500,0.8,0.8,0.17026230863197309,0.80325,0.800848,0.2730552,0.04365817372966573,0.042604759733002096,0.799,0.046664494428826024,0.04489472677673377,0.955,0.04546474944451018,0.038784312931284905,0.907,0,93,0,907,-28.199225470380757,1.2753100319426884,2.8286217752366887
40,250,2500,0.8,0.8,0.1806330198259395,0.80155,0.799108,0.27761,0.04357872268843176,0.04299750474390428,0.772,0.047300726314326275,0.04535617911606309,0.954,0.0459275823727768,0.03887494804468829,0.905,0,102,0,898,-29.28542566780157,-0.7602426639665228,0.8057279905463886
40,250,2500,0.8,0.8,0.1900678398849502,0.79945,0.79884,0.2819588,0.04496205748847558,0.04332561256254909,0.746,0.04822106869432896,0.045885453471667684,0.957,0.04734753094398474,0.038732125458454864,0.901,0,104,0,896,-28.87494020166753,-0.3181662807552255,1.2259932171191625
40,250,2500,0.8,0.8,0.1998390882015514,0.799275,0.800668,0.2866288,0.04335760649711164,0.043019903413272664,0.754,0.04532757524689244,0.04573789070757046,0.955,0.045100913924138036,0.03800639637705746,0.897,0,106,0,894,-27.16193575266705,1.4283129836986261,2.4124704388591223
40,250,2500,0.8,0.95,0.009912299793487728,0.8025,0.950244,0.0548372,0.012912623822310692,0.019282078604310034,0.96,0.014661395109201275,0.01999504585919898,0.946,0.014632048925363723,0.019388521115386345,0.933,0,109,0,891,19.18822317632816,45.41526284951774,48.42770086875506
40,250,2500,0.8,0.95,0.020076306911179623,0.80125,0.949804,0.0602168,0.014699978489894962,0.01941267010235086,0.975,0.016810352723502536,0.020278278314191264,0.958,0.016993728962350973,0.019561255945045403,0.934,0,108,0,892,-19.261783492219386,9.223570736890757,12.904071530663085
40,250,2500,0.8,0.95,0.029563346468374517,0.7992,0.9498679999999999,0.0646188,0.015883633423267977,0.019453838060885097,0.986,0.018142640356641402,0.02048999577380606,0.968,0.018248625339209405,0.019612702668247745,0.954,0,100,0,900,-29.140573563906372,1.5625557329899502,4.685075208103596
40,250,2500,0.8,0.95,0.03918241873065851,0.79985,0.950788,0.0698144,0.017769398511830504,0.019319149770654912,0.986,0.019720076668920613,0.020525248284487225,0.959,0.019643129466577886,0.01945297107708782,0.939,0,108,0,892,-28.69313514866507,1.3180840668181553,6.305306252726274
40,250,2500,0.8,0.95,0.04999999597153313,0.801775,0.950132,0.075381599999999993,0.019338629403811702,0.019425358373945708,0.899,0.021571045256621985,0.020810329781876268,0.95,0.021054889596704943,0.019503093878510767,0.928,0,100,0,900,-31.18584184786007,0.4143552233068412,3.565042184903744
40,250,2500,0.8,0.95,0.06130798519473956,0.7984,0.9497,0.0810836,0.018168100560931016,0.019664233121675877,0.89,0.02029127614850168,0.021250485718392324,0.959,0.020006546453101556,0.01968450528800406,0.924,0,104,0,896,-32.59368641616638,-0.8709345549614823,2.2389461462445612
40,250,2500,0.8,0.95,0.07004357654639723,0.800925,0.950148,0.0860104,0.018944468301308665,0.019603835213697504,0.85,0.020858793549061384,0.021410642883951315,0.961,0.02021766473642168,0.019535959665922975,0.932,0,120,0,880,-31.189149592739792,0.5113590651082396,3.05675793758058
40,250,2500,0.8,0.95,0.07985389946003679,0.799025,0.949668,0.0910204,0.019915215883613595,0.019867288389318855,0.774,0.022113111132407205,0.021871496760388447,0.957,0.021708563215087746,0.019669202555856784,0.915,0,113,0,887,-31.679287116428156,-0.5124105613527361,2.324876644761275
40,250,2500,0.8,0.95,0.09005769599673488,0.801225,0.9499879999999999,0.096648800000000007,0.019900469190282467,0.01987265688669193,0.729,0.022645778666136297,0.02207311637261087,0.956,0.02201308807535841,0.01953139623785234,0.909,0,107,0,893,-30.841326244421708,0.2129318068565715,2.3553593830772233
40,250,2500,0.8,0.95,0.10092145976379437,0.800575,0.950236,0.1023804,0.02044680638602014,0.020017502555398407,0.667,0.022613201026087222,0.02242925972246807,0.951,0.022178662297419147,0.019503768013706856,0.902,0,112,0,888,-30.48452349750273,0.841917051574133,2.618323649798637
40,250,2500,0.8,0.95,0.10830453384621769,0.797075,0.9506239999999999,0.1062164,0.02014409073129151,0.02019767167400647,0.641,0.023089212627069994,0.02285998887953922,0.958,0.022736131884404664,0.01949475685451015,0.905,0,103,0,897,-29.59205093302938,1.405079302041822,2.948968326046845
40,250,2500,0.8,0.95,0.11995767669210997,0.802225,0.950112,0.1126176,0.019955231906347428,0.02030585097443948,0.555,0.023509243205331733,0.023050370615104704,0.956,0.022861840856556608,0.01942924520822785,0.902,0,113,0,887,-30.265613708272518,-0.3771557611873907,1.5839921050709214
40,250,2500,0.8,0.95,0.1299855839797041,0.798575,0.950352,0.1183748,0.020056715544281834,0.020618281770480067,0.528,0.023749331069590984,0.023793409494987924,0.96,0.02286930820717691,0.019446954182689376,0.899,0,99,0,901,-29.15512598198386,1.076060725303872,2.364802168375267
40,250,2500,0.8,0.95,0.14011042979399077,0.798775,0.950436,0.1240436,0.020268226664552594,0.020832714121009663,0.481,0.024294308665587808,0.024089727195502023,0.948,0.023582532807158465,0.01937522988959966,0.896,0,89,0,911,-28.73736137379585,1.267229559481017,2.46652882527752
40,250,2500,0.8,0.95,0.15025204503364473,0.799975,0.9489639999999999,0.12948,0.020890892654020873,0.021230201102524604,0.414,0.024609267248608704,0.024677352202258328,0.952,0.024050676731270256,0.01956960616664008,0.882,0,97,0,903,-29.956272138452743,-0.5680458729479421,0.6008731523337016
40,250,2500,0.8,0.95,0.16032946675383158,0.801375,0.950224,0.1355072,0.021186231436508027,0.021273915666068417,0.387,0.024949239206090996,0.02500783541397941,0.959,0.024257725643637675,0.019264863335457166,0.873,0,108,0,892,-28.545107176956265,0.47321999179126667,1.5869820217513047
40,250,2500,0.8,0.95,0.17026230863197309,0.802325,0.950156,0.1410468,0.021537203015013856,0.021509054104509047,0.366,0.02470737931432005,0.025332031470485884,0.962,0.024344779295891374,0.019201136219405227,0.874,0,104,0,896,-28.456479650871366,-0.02293545003576903,1.2464344065540205
40,250,2500,0.8,0.95,0.1806330198259395,0.79865,0.949584,0.1467584,0.021494449489375456,0.021998593004310694,0.34,0.025440064263235883,0.026161587452727703,0.962,0.024832452509322336,0.019339236420236938,0.873,0,126,0,874,-28.440135666461995,0.5264913271675482,1.0660322467074008
40,250,2500,0.8,0.95,0.1900678398849502,0.80215,0.950452,0.1523972,0.022435571551140218,0.022088938206268876,0.31,0.027107281631722917,0.026386852408189172,0.947,0.02646162727313358,0.019062087477175107,0.847,0,102,0,898,-27.718616655771374,0.41138644325550905,1.0249671662171829
40,250,2500,0.8,0.95,0.1998390882015514,0.802,0.950472,0.1584544,0.021490680338298603,0.02242309523273726,0.3,0.026354224239411087,0.026917456296866142,0.953,0.025491617061638397,0.01901498341444039,0.871,0,98,0,902,-27.188789825930684,0.44948715388602684,1.089505697775019
40,250,2500,0.8,0.99,0.009912299793487728,0.796,0.989864,0.0155364,0.006733905892471784,0.008400413277666142,0.925,0.008179300969709315,0.009142019395707955,0.913,0.008000528678541436,0.008736736283709648,0.889,0,103,0,897,-17.7165456288155,12.2531110495235,16.33742524437588
40,250,2500,0.8,0.99,0.020076306911179623,0.79845,0.9900599999999999,0.020602,0.008174227231897566,0.008526928839395957,0.975,0.009851803359469497,0.00965168178958728,0.938,0.009644483642868178,0.009035962630846097,0.896,0,101,0,899,-30.3011140881609,0.8415849338110876,3.9847508433279013
40,250,2500,0.8,0.99,0.029563346468374517,0.801325,0.990224,0.0257728,0.008490209561276598,0.008717134894375304,0.909,0.01029858780009571,0.010275948792063552,0.954,0.009922315410238438,0.009347644921402592,0.918,0,86,0,914,-30.978951668116846,2.372916669888165,4.204717686463242
40,250,2500,0.8,0.99,0.03918241873065851,0.80475,0.98986,0.0309564,0.009037517972278308,0.009064090409655823,0.74,0.011099963925078473,0.010924448993827062,0.949,0.010776592607211212,0.00976455386688278,0.916,0,106,0,894,-32.72853647139601,-0.21020089946789275,1.8795869149508027
40,250,2500,0.8,0.99,0.04999999597153313,0.800025,0.990256,0.036832,0.009118642309906333,0.009342541641183722,0.633,0.011751625709325576,0.01164061519984007,0.95,0.011037391046405316,0.010018261807607594,0.913,0,111,0,889,-31.10469158410037,0.8919165516608277,2.5765475005085183
40,250,2500,0.8,0.99,0.06130798519473956,0.8028,0.989976,0.0431884,0.009565847377649827,0.009765204526585908,0.473,0.011935792321874819,0.012369700736778868,0.966,0.01147792558205226,0.010387523647289586,0.913,0,114,0,886,-31.481077647398294,0.22942653596768448,1.4924698015996694
40,250,2500,0.8,0.99,0.07004357654639723,0.79985,0.990208,0.047966,0.010422489108908521,0.01006812836748715,0.387,0.013463844998358272,0.013025744854825674,0.952,0.012884010570437818,0.01059873880916672,0.881,0,91,0,909,-30.607088787687225,1.266484459803279,2.40720896877748
40,250,2500,0.8,0.99,0.07985389946003679,0.806175,0.990176,0.0532884,0.01082933317621828,0.010313659826991842,0.292,0.014127545137272034,0.013525384252500352,0.951,0.013564897506887183,0.010775122118994132,0.872,0,93,0,907,-31.268146173589358,0.21779826886329276,1.1540578306176397
40,250,2500,0.8,0.99,0.09005769599673488,0.80115,0.990304,0.058884,0.010901719049883504,0.010765995184996059,0.266,0.014717296510727097,0.014272290317483366,0.956,0.0140960431269048,0.011012659595769319,0.868,0,103,0,897,-30.586265688927064,0.5460249192694311,1.2811950397710965
40,250,2500,0.8,0.99,0.10092145976379437,0.801625,0.99002,0.0654096,0.01142510652941512,0.011280006858544927,0.212,0.015372908213707466,0.015159433219818308,0.953,0.014682140977509233,0.011329505662341505,0.877,0,114,0,886,-30.241974738273502,1.1700962149560086,1.709662338941156
40,250,2500,0.8,0.99,0.10830453384621769,0.8021,0.990004,0.0693004,0.011928197403029682,0.011561894805587291,0.182,0.01585939087597297,0.01556484415979563,0.959,0.01547567541353822,0.011438150805468051,0.857,0,92,0,908,-30.4750472319736,0.34415626244360337,0.5690087765559487
40,250,2500,0.8,0.99,0.11995767669210997,0.80145,0.989916,0.0757948,0.012340089038154492,0.012083208797951953,0.171,0.0166063598307188,0.01631808885551353,0.94,0.015815520882345675,0.011667964207508822,0.855,0,120,0,880,-30.370321051223375,-0.4255172955527128,0.038975091584180284
40,250,2500,0.8,0.99,0.1299855839797041,0.79915,0.989856,0.081994,0.0124145012274874,0.012652230748636677,0.17,0.017102618914397873,0.017161274429486558,0.954,0.016490905439547468,0.011913655701763401,0.86,0,114,0,886,-29.512744762603912,0.4835390396516148,0.9410814206358246
40,250,2500,0.8,0.99,0.14011042979399077,0.797525,0.990028,0.0878516,0.013597736525570244,0.013152322074606287,0.177,0.018690230618429237,0.01796021007430406,0.944,0.018108374115882942,0.012045921504581334,0.814,0,124,0,876,-28.946166233329386,1.1403358491587006,1.2400022887449653
40,250,2500,0.8,0.99,0.15025204503364473,0.8035,0.99002,0.0935704,0.01379953051106823,0.013400625824652176,0.136,0.018894554518130425,0.018208296901919573,0.942,0.018187557769383737,0.012078712152913175,0.818,0,122,0,878,-29.466358662988164,-0.1797759782696375,-0.04425121647985988
40,250,2500,0.8,0.99,0.16032946675383158,0.800675,0.990068,0.1000328,0.014324579211349095,0.01402431483874258,0.143,0.02026092148582932,0.019235252395136234,0.939,0.019291985379074495,0.012277963397917719,0.791,0,107,0,893,-28.493935300399396,1.085031925659419,1.0488921845265005
40,250,2500,0.8,0.99,0.17026230863197309,0.7994,0.9901,0.1059656,0.014301399317415165,0.014549108494765421,0.143,0.01981158195820211,0.01984124264995414,0.955,0.0194265354831117,0.012400968679391292,0.784,0,105,0,895,-28.12186859892591,0.4896406039278821,0.667851579434157
40,250,2500,0.8,0.99,0.1806330198259395,0.8019,0.989792,0.1120344,0.015518120079530445,0.015012393610513259,0.139,0.021101924941154163,0.02047965859708386,0.936,0.020304992698117332,0.01254183667024548,0.776,0,98,0,902,-28.36932177190826,-0.03493316492520183,0.04461973501599797
40,250,2500,0.8,0.99,0.1900678398849502,0.801,0.989732,0.1182324,0.015717219668950216,0.015585058855444084,0.137,0.021343110232299272,0.021279681207474716,0.946,0.020847800879780984,0.012682375924073492,0.786,0,97,0,903,-27.722185486947453,0.6063619207487438,0.46362985534372664
40,250,2500,0.8,0.99,0.1998390882015514,0.801275,0.990132,0.1242184,0.01651869635676049,0.016054231419382434,0.138,0.023308640275064334,0.021854682455463046,0.941,0.022190260423065444,0.012701150093399146,0.762,0,87,0,913,-27.24023921942919,0.42529033335727406,0.5704051981811876
40,250,2500,0.99,0.8,0.009912299793487728,0.989825,0.8014640000000001,0.204898,0.02065562563167731,0.03335142624911504,0.969,0.022102403429925026,0.03425008686487087,0.961,0.022105008597908864,0.03348339281388752,0.958,0,103,0,897,69.04787051019429,89.46345428696145,92.36225450996541
40,250,2500,0.99,0.8,0.020076306911179623,0.989825,0.800752,0.2107104,0.023156168621188456,0.03326831090680401,0.974,0.026036821113130604,0.034201342636496504,0.954,0.025938984840860095,0.03331618747620922,0.951,0,101,0,899,5.839529645540938,30.365554386053244,35.41955263572696
40,250,2500,0.99,0.8,0.029563346468374517,0.98965,0.799608,0.2159388,0.024633602084901982,0.03325755337100135,0.983,0.02772096043446347,0.03408461668290963,0.962,0.027677680939016933,0.0332438154257655,0.959,0,117,0,883,-15.260332683069993,11.228645634852983,14.148664970812323
40,250,2500,0.99,0.8,0.03918241873065851,0.990025,0.799268,0.2209856,0.02660576231919641,0.03312196485110752,0.982,0.029787628436517995,0.03399664825640287,0.958,0.029787693485809088,0.03304127567111097,0.947,0,105,0,895,-24.41490441497022,1.6181992631648334,6.229032142120931
40,250,2500,0.99,0.8,0.04999999597153313,0.9904499999999999,0.8005960000000001,0.2270876,0.02805084472064048,0.03272032151587167,0.987,0.03156850361537801,0.033533882210810904,0.956,0.031021239537784313,0.032565876841425694,0.946,0,94,0,906,-26.209246533987923,2.826094760841683,7.118598914525579
40,250,2500,0.99,0.8,0.06130798519473956,0.990025,0.800096,0.232742,0.02879515724047653,0.03262984765093006,0.99,0.03181530476211263,0.03336105555405127,0.964,0.03174150070146066,0.032397389074854156,0.953,0,113,0,887,-30.28263792989479,-0.38913542715699107,2.751756079393612
40,250,2500,0.99,0.8,0.07004357654639723,0.9897,0.800844,0.2374,0.029417472964296715,0.03238972092378699,0.992,0.031579793764210905,0.03310182488913479,0.961,0.031451304003457053,0.032084985057130026,0.952,0,96,0,904,-30.335010747271102,0.48414476381227756,3.676107440643976
40,250,2500,0.99,0.8,0.07985389946003679,0.98995,0.800408,0.2437812,0.030215916696603787,0.03222859567494977,0.928,0.03202548839938906,0.03285147079789846,0.959,0.03112984149024827,0.03184513226923083,0.945,0,113,0,887,-30.314834318778825,1.3761877743921467,4.4532597670599765
40,250,2500,0.99,0.8,0.09005769599673488,0.988525,0.799644,0.2491948,0.031112275187992235,0.03221884919866588,0.895,0.03225113747011532,0.03282720660616771,0.954,0.03198379701534693,0.03174648714153073,0.938,0,123,0,877,-31.67524827407543,0.03130582030694283,2.506932388435032
40,250,2500,0.99,0.8,0.10092145976379437,0.989725,0.799392,0.2555208,0.031029548909295487,0.03199357657715908,0.871,0.032761172381432245,0.03262332367479439,0.958,0.03179454788074949,0.03144211912193206,0.94,0,109,0,891,-31.614285050360888,-0.628150031885529,2.189690240547138
40,250,2500,0.99,0.8,0.10830453384621769,0.990625,0.8015720000000001,0.2594236,0.03109999137134648,0.031552611660293224,0.869,0.03204685325950717,0.03213770137439098,0.947,0.031297441753651734,0.0309667690159997,0.933,0,133,0,867,-29.651242762035046,0.8166246442188319,3.4517779012051673
40,250,2500,0.99,0.8,0.11995767669210997,0.989375,0.8001520000000001,0.2658416,0.031143746906868202,0.03158246299568355,0.834,0.032078127435700224,0.03211793929650293,0.943,0.031311680413891874,0.030899540724583313,0.941,0,111,0,889,-31.044209118776518,-1.3041796693678613,1.607066438144186
40,250,2500,0.99,0.8,0.1299855839797041,0.9899749999999999,0.80054,0.2713152,0.031419858721459304,0.03133679475907674,0.797,0.03296428059349083,0.03183391232391149,0.938,0.03166861554731519,0.030571636132551056,0.935,0,97,0,903,-30.77369247543628,-0.8242682599189209,1.6642625110323601
40,250,2500,0.99,0.8,0.14011042979399077,0.990375,0.800268,0.2780788,0.03164873665520198,0.031143851769909466,0.764,0.031841983105508724,0.031540848190480746,0.944,0.031478684565141676,0.030300871179966018,0.932,0,101,0,899,-29.897141049738774,-0.01030102508897898,1.8990005337076978
40,250,2500,0.99,0.8,0.15025204503364473,0.989775,0.800656,0.2838968,0.03105178763704085,0.03093902891835489,0.758,0.031902459984596294,0.03141425275924128,0.95,0.031031919789292865,0.030000226659935153,0.934,0,106,0,894,-29.370932213223856,-0.6001509430418409,2.075590733433664
40,250,2500,0.99,0.8,0.16032946675383158,0.990575,0.800044,0.2896856,0.031251744213514676,0.030794339284554,0.695,0.03128931036891171,0.031133463871904334,0.951,0.03055195025510036,0.029770155962308968,0.945,0,112,0,888,-29.736767802653688,-0.5026082558358943,1.4186947361839666
40,250,2500,0.99,0.8,0.17026230863197309,0.98905,0.7989040000000001,0.2958124,0.03130339070748301,0.030813584698624816,0.656,0.03198534842442373,0.0311748494894797,0.947,0.03139645855893849,0.029690977037707744,0.935,0,97,0,903,-29.918902982898164,-1.0734747721470637,0.7892914079310379
40,250,2500,0.99,0.8,0.1806330198259395,0.990475,0.798976,0.301586,0.03063260618559952,0.03055319286173326,0.602,0.031181389275773873,0.030802807319358198,0.948,0.030411260660491643,0.02936488198924211,0.942,0,104,0,896,-29.947808508346878,-1.1972624939510568,0.1395281007216918
40,250,2500,0.99,0.8,0.1900678398849502,0.990275,0.7980360000000001,0.308082,0.030514133065314707,0.030470145144949435,0.574,0.031137627551646143,0.030692322109580884,0.955,0.030321496847600538,0.02917075183074819,0.937,0,92,0,908,-29.592362730342423,-1.0920869679281753,0.3669904766338297
