n_1,n_2,n_3,sigma_e,sigma_p,prev,sigma_e_hat,sigma_p_hat,rho_hat,ESE_hat_pi_RG,ASE_hat_pi_RG,covers_pi_RG,ESE_hat_pi_SRG,ASE_hat_pi_SRG,covers_pi_SRG,ESE_hat_pi_SRG_restriction,ASE_hat_pi_SRG_restriction,covers_pi_SRG_restriction,ESE_hat_pi_SRGM,ASE_hat_pi_SRGM,covers_pi_SRGM,num_infinite_pi_RG,num_infinite_pi_SRG,num_infinite_pi_SRGM,n_strata_obs_full,hat_pi_RG,hat_pi_SRG,hat_pi_SRG_restriction,hat_pi_SRGM
40,250,2500,0.8,0.8,0.009912299793487728,0.801175,0.799448,0.2039296,0.026761063040729286,0.04511447701784558,0.965,0.02823099498838391,0.046283609094288906,0.963,0.02823099498838391,0.046283609094288906,0.963,0.0281699703999104,0.04528580891146094,0.956,0,0,0,891,101.26681324805665,128.80630610920556,94.10797559325205,126.71926478638333
40,250,2500,0.8,0.8,0.020076306911179623,0.80175,0.80064,0.2083084,0.028994570406765213,0.044609618108761205,0.975,0.03202128369525451,0.04577523808207321,0.961,0.03202128369525451,0.04577523808207321,0.961,0.03213779222131876,0.044713049197726694,0.952,0,0,0,892,26.67023813424207,50.21199770777975,51.1929084542416,53.09305162302702
40,250,2500,0.8,0.8,0.029563346468374517,0.7987,0.798948,0.2118012,0.029915593884681152,0.04491733926888409,0.981,0.03393424055276874,0.04604204973486269,0.967,0.03393424055276874,0.04604204973486269,0.967,0.03398556286204994,0.044956492119632825,0.961,0,0,0,899,-7.021785381626644,17.13827669203525,17.711022833320655,20.877898457184966
40,250,2500,0.8,0.8,0.03918241873065851,0.80065,0.801072,0.2159572,0.03408005800997957,0.04419499024131528,0.973,0.03803420605570589,0.04532121296770705,0.954,0.03803420605570589,0.04532121296770705,0.954,0.037955433434283786,0.04419864440446059,0.947,0,0,0,888,-10.78255513885644,16.308436071946325,12.539339796680757,19.411614238357043
40,250,2500,0.8,0.8,0.04999999597153313,0.79995,0.799072,0.2204684,0.03472818013770498,0.044385253139770736,0.983,0.03923019743571792,0.04550923567903891,0.969,0.03923019743571792,0.04550923567903891,0.969,0.03957507899657297,0.044351189889811266,0.955,0,0,0,876,-22.877008285564624,5.282993212685965,-9.05590474781117,7.193267722578481
40,250,2500,0.8,0.8,0.06130798519473956,0.795075,0.799632,0.2252244,0.0366213728771056,0.04440661265306808,0.994,0.041611255251913684,0.045555198296104535,0.973,0.041611255251913684,0.045555198296104535,0.973,0.041242083964950584,0.04437631664644986,0.969,0,0,0,905,-26.263162648748082,2.863773132035515,3.2992817407131034,6.48995970708543
40,250,2500,0.8,0.8,0.07004357654639723,0.800325,0.8001480000000001,0.2290084,0.038202755219991835,0.04376587883583432,0.995,0.043497751515956376,0.04497544963635293,0.965,0.043497751515956376,0.04497544963635293,0.965,0.04290928303440627,0.04377056027822973,0.958,0,0,0,881,-26.991456448367764,1.9276125523760639,0.7530161208970334,5.379452137310183
40,250,2500,0.8,0.8,0.07985389946003679,0.7998,0.8010280000000001,0.2327888,0.038680894950648685,0.04351874504153307,0.992,0.04282769005491486,0.04476184053061984,0.962,0.04282769005491486,0.04476184053061984,0.962,0.04207393877588518,0.04354592671726769,0.955,0,0,0,892,-27.656169462936383,2.5714604024270646,3.523317239071448,6.463517671787561
40,250,2500,0.8,0.8,0.09005769599673488,0.801225,0.7999040000000001,0.2373016,0.03872380204014202,0.04341926245961255,0.987,0.042648636274745334,0.04468996936150383,0.981,0.042648636274745334,0.04468996936150383,0.981,0.04264634395930137,0.04347113909927306,0.969,0,0,0,907,-29.8294713178313,-1.3489281818837584,6.899160837341891,2.7341550190607258
40,250,2500,0.8,0.8,0.10092145976379437,0.797225,0.800064,0.2418976,0.03979025691322723,0.043571984219971056,0.947,0.04317054241791275,0.04495244375108363,0.965,0.04317054241791275,0.04495244375108363,0.965,0.042972862981023686,0.04370705150304244,0.958,0,0,0,878,-30.009624107290126,1.443672506820686,-8.104240719331834,3.747299250270921
40,250,2500,0.8,0.8,0.10830453384621769,0.800325,0.799748,0.2454096,0.041075723171091545,0.043336170854007906,0.925,0.044763585004392065,0.04477470770044605,0.964,0.044763585004392065,0.04477470770044605,0.964,0.044259638629169394,0.04352417669742587,0.963,0,0,0,897,-30.33213857712494,-0.15592941080174913,3.515812989134001,2.879812880050466
40,250,2500,0.8,0.8,0.11995767669210997,0.798,0.798628,0.2504852,0.043161459723283224,0.043705497869539096,0.89,0.04639266837877817,0.0452501882129179,0.953,0.04639266837877817,0.0452501882129179,0.953,0.04597123999260788,0.04397607671315632,0.95,0,0,0,876,-31.32014766974167,-0.8408593519490014,-0.2944642454801157,1.8344333649780473
40,250,2500,0.8,0.8,0.1299855839797041,0.797325,0.7988120000000001,0.2539384,0.044189685475546,0.04357751370114391,0.848,0.04725134749232705,0.04520682723990459,0.95,0.04725134749232705,0.04520682723990459,0.95,0.0463635076035174,0.04393064660747751,0.953,0,0,0,891,-32.01753750902254,-1.5430023243028415,-6.805661691086211,0.6720071371652585
40,250,2500,0.8,0.8,0.14011042979399077,0.80065,0.801056,0.2588876,0.041340576513500774,0.04286414989820423,0.88,0.04421764538235931,0.04468145027581369,0.962,0.04421764538235931,0.04468145027581369,0.962,0.04331467454811327,0.04339271852506644,0.962,0,0,0,899,-28.9567783706151,1.791205706025753,-6.711302286248057,3.0014539403626195
40,250,2500,0.8,0.8,0.15025204503364473,0.801225,0.8002560000000001,0.2636704,0.04348159220927335,0.04291490106597228,0.819,0.045961096335621156,0.04481010751412067,0.962,0.045961096335621156,0.04481010751412067,0.962,0.045092325049307755,0.0435463783888286,0.949,0,0,0,883,-29.3687991464712,-0.33562531666473217,-0.9083715841491464,1.939220349662282
40,250,2500,0.8,0.8,0.16032946675383158,0.79885,0.802,0.2682656,0.042581447808549854,0.04276654027205614,0.845,0.044936546889547596,0.04491023065217576,0.957,0.044936546889547596,0.04491023065217576,0.957,0.044173601651752194,0.04363542506199125,0.956,0,0,0,875,-27.182056872502862,2.530956557865509,-0.5623174543072152,4.22036547611386
40,250,2500,0.8,0.8,0.17026230863197309,0.80325,0.800848,0.2730552,0.04365817372966573,0.042604759733002096,0.799,0.04577802904007014,0.04482475864821424,0.955,0.04577802904007014,0.04482475864821424,0.955,0.04546474944451018,0.04353674944903121,0.949,0,0,0,907,-28.199225470380757,1.2753100319426884,0.6034205807462831,2.8286217752366887
40,250,2500,0.8,0.8,0.1806330198259395,0.80155,0.799108,0.27761,0.04357872268843176,0.04299750474390428,0.772,0.04714637701169663,0.04537172665254522,0.954,0.04714637701169663,0.04537172665254522,0.954,0.0459275823727768,0.044068402287186934,0.952,0,0,0,898,-29.28542566780157,-0.7602426639665228,-2.72689716019792,0.8057279905463886
40,250,2500,0.8,0.8,0.1900678398849502,0.79945,0.79884,0.2819588,0.04496205748847558,0.04332561256254909,0.746,0.0481247983407687,0.04588879001238222,0.957,0.0481247983407687,0.04588879001238222,0.957,0.04734753094398474,0.04459486392109736,0.952,0,0,0,896,-28.87494020166753,-0.3181662807552255,-0.7489565958544698,1.2259932171191625
40,250,2500,0.8,0.8,0.1998390882015514,0.799275,0.800668,0.2866288,0.04335760649711164,0.043019903413272664,0.754,0.04578080436766712,0.04579284512498659,0.955,0.04578080436766712,0.04579284512498659,0.955,0.045100913924138036,0.04449296939036153,0.95,0,0,0,894,-27.16193575266705,1.4283129836986261,-1.7179271856342928,2.4124704388591223
40,250,2500,0.8,0.95,0.009912299793487728,0.8025,0.950244,0.0548372,0.012912623822310692,0.019282078604310034,0.96,0.01468293357021746,0.019985625752358183,0.946,0.01468293357021746,0.019985625752358183,0.946,0.014632048925363723,0.019501485095944886,0.937,0,0,0,891,19.18822317632816,45.41526284951774,37.30364489887324,48.42770086875506
40,250,2500,0.8,0.95,0.020076306911179623,0.80125,0.949804,0.0602168,0.014699978489894962,0.01941267010235086,0.975,0.016835216260389217,0.02028338965778875,0.958,0.016835216260389217,0.02028338965778875,0.958,0.016993728962350973,0.019736128196966705,0.937,0,0,0,892,-19.261783492219386,9.223570736890757,6.4855662002757,12.904071530663085
40,250,2500,0.8,0.95,0.029563346468374517,0.7992,0.9498679999999999,0.0646188,0.015883633423267977,0.019453838060885097,0.986,0.01829730989962562,0.020483590730599674,0.968,0.01829730989962562,0.020483590730599674,0.968,0.018248625339209405,0.0198921340858321,0.958,0,0,0,900,-29.140573563906372,1.5625557329899502,-4.056535619452753,4.685075208103596
40,250,2500,0.8,0.95,0.03918241873065851,0.79985,0.950788,0.0698144,0.017769398511830504,0.019319149770654912,0.986,0.019765839613718708,0.020523013676240716,0.959,0.019765839613718708,0.020523013676240716,0.959,0.019643129466577886,0.01989046955256014,0.949,0,0,0,892,-28.69313514866507,1.3180840668181553,10.986906096155767,6.305306252726274
40,250,2500,0.8,0.95,0.04999999597153313,0.801775,0.950132,0.075381599999999993,0.019338629403811702,0.019425358373945708,0.899,0.021459022116003625,0.02081602606366311,0.95,0.021459022116003625,0.02081602606366311,0.95,0.021054889596704943,0.020135821877983223,0.938,0,0,0,900,-31.18584184786007,0.4143552233068412,-1.9184803206059564,3.565042184903744
40,250,2500,0.8,0.95,0.06130798519473956,0.7984,0.9497,0.0810836,0.018168100560931016,0.019664233121675877,0.89,0.02038345110079641,0.021294198117077247,0.959,0.02038345110079641,0.021294198117077247,0.959,0.020006546453101556,0.020542386460483193,0.95,0,0,0,896,-32.59368641616638,-0.8709345549614823,1.9669452776886347,2.2389461462445612
40,250,2500,0.8,0.95,0.07004357654639723,0.800925,0.950148,0.0860104,0.018944468301308665,0.019603835213697504,0.85,0.020835614965337743,0.02140667988332821,0.961,0.020835614965337743,0.02140667988332821,0.961,0.02021766473642168,0.020623261088759292,0.955,0,0,0,880,-31.189149592739792,0.5113590651082396,1.4638652549287574,3.05675793758058
40,250,2500,0.8,0.95,0.07985389946003679,0.799025,0.949668,0.0910204,0.019915215883613595,0.019867288389318855,0.774,0.022052938488492744,0.021862544128817493,0.957,0.022052938488492744,0.021862544128817493,0.957,0.021708563215087746,0.021066432758175605,0.944,0,0,0,887,-31.679287116428156,-0.5124105613527361,0.16086835132729324,2.324876644761275
40,250,2500,0.8,0.95,0.09005769599673488,0.801225,0.9499879999999999,0.096648800000000007,0.019900469190282467,0.01987265688669193,0.729,0.022665076729212075,0.022080924652593557,0.956,0.022665076729212075,0.022080924652593557,0.956,0.02201308807535841,0.021235511499503777,0.939,0,0,0,893,-30.841326244421708,0.2129318068565715,-0.5730139283620881,2.3553593830772233
40,250,2500,0.8,0.95,0.10092145976379437,0.800575,0.950236,0.1023804,0.02044680638602014,0.020017502555398407,0.667,0.022902091230633564,0.02247804313909322,0.951,0.022902091230633564,0.02247804313909322,0.951,0.022178662297419147,0.021588520876306617,0.947,0,0,0,888,-30.48452349750273,0.841917051574133,0.1626218240033219,2.618323649798637
40,250,2500,0.8,0.95,0.10830453384621769,0.797075,0.9506239999999999,0.1062164,0.02014409073129151,0.02019767167400647,0.641,0.023189017660216322,0.022860535228630206,0.958,0.023189017660216322,0.022860535228630206,0.958,0.022736131884404664,0.021940991876563648,0.957,0,0,0,897,-29.59205093302938,1.405079302041822,0.01160674182239257,2.948968326046845
40,250,2500,0.8,0.95,0.11995767669210997,0.802225,0.950112,0.1126176,0.019955231906347428,0.02030585097443948,0.555,0.023501735121417063,0.023123076078241295,0.956,0.023501735121417063,0.023123076078241295,0.956,0.022861840856556608,0.022210926303279012,0.955,0,0,0,887,-30.265613708272518,-0.3771557611873907,1.194564549367901,1.5839921050709214
40,250,2500,0.8,0.95,0.1299855839797041,0.798575,0.950352,0.1183748,0.020056715544281834,0.020618281770480067,0.528,0.0235704740119547,0.023718658973478766,0.96,0.0235704740119547,0.023718658973478766,0.96,0.02286930820717691,0.02276067447894752,0.957,0,0,0,901,-29.15512598198386,1.076060725303872,-0.3667131716825418,2.364802168375267
40,250,2500,0.8,0.95,0.14011042979399077,0.798775,0.950436,0.1240436,0.020268226664552594,0.020832714121009663,0.481,0.02432996541189488,0.024162665510845963,0.948,0.02432996541189488,0.024162665510845963,0.948,0.023582532807158465,0.023178689185195108,0.95,0,0,0,911,-28.73736137379585,1.267229559481017,1.3233179784466904,2.46652882527752
40,250,2500,0.8,0.95,0.15025204503364473,0.799975,0.9489639999999999,0.12948,0.020890892654020873,0.021230201102524604,0.414,0.02482522096403824,0.024700101806007985,0.952,0.02482522096403824,0.024700101806007985,0.952,0.024050676731270256,0.023701074739127418,0.953,0,0,0,903,-29.956272138452743,-0.5680458729479421,0.3352001597177844,0.6008731523337016
40,250,2500,0.8,0.95,0.16032946675383158,0.801375,0.950224,0.1355072,0.021186231436508027,0.021273915666068417,0.387,0.024868905665718907,0.02498824511902767,0.959,0.024868905665718907,0.02498824511902767,0.959,0.024257725643637675,0.023959738093699133,0.957,0,0,0,892,-28.545107176956265,0.47321999179126667,1.5049716229069818,1.5869820217513047
40,250,2500,0.8,0.95,0.17026230863197309,0.802325,0.950156,0.1410468,0.021537203015013856,0.021509054104509047,0.366,0.024962191423688777,0.025393119082979896,0.962,0.024962191423688777,0.025393119082979896,0.962,0.024344779295891374,0.024364469600865565,0.971,0,0,0,896,-28.456479650871366,-0.02293545003576903,2.836743731570565,1.2464344065540205
40,250,2500,0.8,0.95,0.1806330198259395,0.79865,0.949584,0.1467584,0.021494449489375456,0.021998593004310694,0.34,0.0255015911505871,0.026181049446355006,0.962,0.0255015911505871,0.026181049446355006,0.962,0.024832452509322336,0.025105798474203498,0.955,0,0,0,874,-28.440135666461995,0.5264913271675482,1.21771407281913,1.0660322467074008
40,250,2500,0.8,0.95,0.1900678398849502,0.80215,0.950452,0.1523972,0.022435571551140218,0.022088938206268876,0.31,0.0271699265591621,0.026387493143266605,0.947,0.0271699265591621,0.026387493143266605,0.947,0.02646162727313358,0.025328107684540753,0.955,0,0,0,898,-27.718616655771374,0.41138644325550905,0.15424117856239825,1.0249671662171829
40,250,2500,0.8,0.95,0.1998390882015514,0.802,0.950472,0.1584544,0.021490680338298603,0.02242309523273726,0.3,0.026343978556791853,0.02689795210059067,0.953,0.026343978556791853,0.02689795210059067,0.953,0.025491617061638397,0.02583480684107747,0.956,0,0,0,902,-27.188789825930684,0.44948715388602684,0.8813319750794889,1.089505697775019
40,250,2500,0.8,0.99,0.009912299793487728,0.796,0.989864,0.0155364,0.006733905892471784,0.008400413277666142,0.925,0.008101634172889956,0.009152271817577747,0.913,0.008101634172889956,0.009152271817577747,0.913,0.008000528678541436,0.008843839706275102,0.899,0,0,0,897,-17.7165456288155,12.2531110495235,17.95957760704759,16.33742524437588
40,250,2500,0.8,0.99,0.020076306911179623,0.79845,0.9900599999999999,0.020602,0.008174227231897566,0.008526928839395957,0.975,0.009811049380164572,0.009674827775191571,0.938,0.009811049380164572,0.009674827775191571,0.938,0.009644483642868178,0.009274645535022576,0.916,0,0,0,899,-30.3011140881609,0.8415849338110876,-5.181880301787096,3.9847508433279013
40,250,2500,0.8,0.99,0.029563346468374517,0.801325,0.990224,0.0257728,0.008490209561276598,0.008717134894375304,0.909,0.010378446667793886,0.010297669271706875,0.954,0.010378446667793886,0.010297669271706875,0.954,0.009922315410238438,0.009758863442302187,0.946,0,0,0,914,-30.978951668116846,2.372916669888165,-0.5972858599590347,4.204717686463242
40,250,2500,0.8,0.99,0.03918241873065851,0.80475,0.98986,0.0309564,0.009037517972278308,0.009064090409655823,0.74,0.011158776672705237,0.01094077497497473,0.949,0.011158776672705237,0.01094077497497473,0.949,0.010776592607211212,0.010364411612499411,0.948,0,0,0,894,-32.72853647139601,-0.21020089946789275,0.2563894472079415,1.8795869149508027
40,250,2500,0.8,0.99,0.04999999597153313,0.800025,0.990256,0.036832,0.009118642309906333,0.009342541641183722,0.633,0.011649305345040148,0.011618146449549404,0.95,0.011649305345040148,0.011618146449549404,0.95,0.011037391046405316,0.010945108142416374,0.947,0,0,0,889,-31.10469158410037,0.8919165516608277,-0.5094546239355644,2.5765475005085183
40,250,2500,0.8,0.99,0.06130798519473956,0.8028,0.989976,0.0431884,0.009565847377649827,0.009765204526585908,0.473,0.011823766534206666,0.012384547242795982,0.966,0.011823766534206666,0.012384547242795982,0.966,0.01147792558205226,0.011627716799423957,0.961,0,0,0,886,-31.481077647398294,0.22942653596768448,-0.973706542646191,1.4924698015996694
40,250,2500,0.8,0.99,0.07004357654639723,0.79985,0.990208,0.047966,0.010422489108908521,0.01006812836748715,0.387,0.013433779200495747,0.013030695187050474,0.952,0.013433779200495747,0.013030695187050474,0.952,0.012884010570437818,0.012215413834811784,0.944,0,0,0,909,-30.607088787687225,1.266484459803279,2.4301471619745585,2.40720896877748
40,250,2500,0.8,0.99,0.07985389946003679,0.806175,0.990176,0.0532884,0.01082933317621828,0.010313659826991842,0.292,0.013943677935326674,0.01353335893363739,0.951,0.013943677935326674,0.01353335893363739,0.951,0.013564897506887183,0.012671415785765902,0.942,0,0,0,907,-31.268146173589358,0.21779826886329276,0.07270804024840573,1.1540578306176397
40,250,2500,0.8,0.99,0.09005769599673488,0.80115,0.990304,0.058884,0.010901719049883504,0.010765995184996059,0.266,0.014737616629887899,0.014294690866649461,0.956,0.014737616629887899,0.014294690866649461,0.956,0.0140960431269048,0.013380245954913538,0.95,0,0,0,897,-30.586265688927064,0.5460249192694311,2.391107912128602,1.2811950397710965
40,250,2500,0.8,0.99,0.10092145976379437,0.801625,0.99002,0.0654096,0.01142510652941512,0.011280006858544927,0.212,0.015508969215554164,0.01516011528055966,0.953,0.015508969215554164,0.01516011528055966,0.953,0.014682140977509233,0.014165939403103572,0.955,0,0,0,886,-30.241974738273502,1.1700962149560086,3.1450390556681955,1.709662338941156
40,250,2500,0.8,0.99,0.10830453384621769,0.8021,0.990004,0.0693004,0.011928197403029682,0.011561894805587291,0.182,0.016005382343422532,0.01558784710677477,0.959,0.016005382343422532,0.01558784710677477,0.959,0.01547567541353822,0.014555640991294647,0.952,0,0,0,908,-30.4750472319736,0.34415626244360337,1.3984197286623894,0.5690087765559487
40,250,2500,0.8,0.99,0.11995767669210997,0.80145,0.989916,0.0757948,0.012340089038154492,0.012083208797951953,0.171,0.016765082173254137,0.0163203859215226,0.94,0.016765082173254137,0.0163203859215226,0.94,0.015815520882345675,0.01529590579300321,0.946,0,0,0,880,-30.370321051223375,-0.4255172955527128,0.4778204160044102,0.038975091584180284
40,250,2500,0.8,0.99,0.1299855839797041,0.79915,0.989856,0.081994,0.0124145012274874,0.012652230748636677,0.17,0.01713262659299248,0.0171800461813652,0.954,0.01713262659299248,0.0171800461813652,0.954,0.016490905439547468,0.016134115954227,0.958,0,0,0,886,-29.512744762603912,0.4835390396516148,1.8822783721319485,0.9410814206358246
40,250,2500,0.8,0.99,0.14011042979399077,0.797525,0.990028,0.0878516,0.013597736525570244,0.013152322074606287,0.177,0.018922440413436565,0.017959655929950767,0.944,0.018922440413436565,0.017959655929950767,0.944,0.018108374115882942,0.016869552286018264,0.943,0,0,0,876,-28.946166233329386,1.1403358491587006,1.148072232672067,1.2400022887449653
40,250,2500,0.8,0.99,0.15025204503364473,0.8035,0.99002,0.0935704,0.01379953051106823,0.013400625824652176,0.136,0.018891115068823117,0.018287171490506432,0.942,0.018891115068823117,0.018287171490506432,0.942,0.018187557769383737,0.017193820345014835,0.934,0,0,0,878,-29.466358662988164,-0.1797759782696375,-0.0636674048536282,-0.04425121647985988
40,250,2500,0.8,0.99,0.16032946675383158,0.800675,0.990068,0.1000328,0.014324579211349095,0.01402431483874258,0.143,0.020379867799189544,0.01920723031618465,0.939,0.020379867799189544,0.01920723031618465,0.939,0.019291985379074495,0.01810701403337819,0.934,0,0,0,893,-28.493935300399396,1.085031925659419,-0.9926355544238892,1.0488921845265005
40,250,2500,0.8,0.99,0.17026230863197309,0.7994,0.9901,0.1059656,0.014301399317415165,0.014549108494765421,0.143,0.020036357000184475,0.01988192141607609,0.955,0.020036357000184475,0.01988192141607609,0.955,0.0194265354831117,0.0187715778932654,0.947,0,0,0,895,-28.12186859892591,0.4896406039278821,0.9227568116967201,0.667851579434157
40,250,2500,0.8,0.99,0.1806330198259395,0.8019,0.989792,0.1120344,0.015518120079530445,0.015012393610513259,0.139,0.021142398320742904,0.020497728928176383,0.936,0.021142398320742904,0.020497728928176383,0.936,0.020304992698117332,0.019361717932175136,0.927,0,0,0,902,-28.36932177190826,-0.03493316492520183,0.2536873315764818,0.04461973501599797
40,250,2500,0.8,0.99,0.1900678398849502,0.801,0.989732,0.1182324,0.015717219668950216,0.015585058855444084,0.137,0.021422946633519326,0.02127780644471816,0.946,0.021422946633519326,0.02127780644471816,0.946,0.020847800879780984,0.020118762295900882,0.941,0,0,0,903,-27.722185486947453,0.6063619207487438,0.24758711357971183,0.46362985534372664
